HOG	OG	Gene Tree Parent Clade	19222_Sid_GoodCoral_500lnThresh_Final	29422_past_LongestContig_suffixed
N0.HOG0001479	OG0001363	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04770, Siderastrea_Mexico_Barshis-Radice_Host_contig17074	
N0.HOG0001480	OG0001364	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02803, Siderastrea_Mexico_Barshis-Radice_Host_contig09665	
N0.HOG0001481	OG0001365	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12916, Siderastrea_Mexico_Barshis-Radice_Host_contig06475	
N0.HOG0001482	OG0001366	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06479, Siderastrea_Mexico_Barshis-Radice_Host_contig02244	
N0.HOG0001483	OG0001367	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13495, Siderastrea_Mexico_Barshis-Radice_Host_contig01413	
N0.HOG0001484	OG0001368	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17335, Siderastrea_Mexico_Barshis-Radice_Host_contig10760	
N0.HOG0001485	OG0001369	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09282	GCKDGN102DQDG9_Past
N0.HOG0001486	OG0001370	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01119, Siderastrea_Mexico_Barshis-Radice_Host_contig17308	
N0.HOG0001487	OG0001371	-	Siderastrea_Mexico_Barshis-Radice_Host_contig16388	isotig01514_Past
N0.HOG0001488	OG0001372	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17390, Siderastrea_Mexico_Barshis-Radice_Host_contig16383	
N0.HOG0001489	OG0001373	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04798	isotig04043_Past
N0.HOG0001490	OG0001374	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07443	isotig10726_Past
N0.HOG0001491	OG0001375	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12727	isotig14777_Past
N0.HOG0001492	OG0001376	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06007	isotig03506_Past
N0.HOG0001493	OG0001377	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06247, Siderastrea_Mexico_Barshis-Radice_Host_contig15575	
N0.HOG0001494	OG0001378	-	Siderastrea_Mexico_Barshis-Radice_Host_contig16039	isotig12043_Past
N0.HOG0001495	OG0001379	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13232	isotig03171_Past
N0.HOG0001496	OG0001380	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06801, Siderastrea_Mexico_Barshis-Radice_Host_contig13236	
N0.HOG0001497	OG0001381	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15573, Siderastrea_Mexico_Barshis-Radice_Host_contig08440	
N0.HOG0001498	OG0001382	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04792	isotig06989_Past
N0.HOG0001499	OG0001383	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00378	isotig08421_Past
N0.HOG0001500	OG0001384	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07205, Siderastrea_Mexico_Barshis-Radice_Host_contig06803	
N0.HOG0001501	OG0001385	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07200	GCKDGN101AQ2MM_Past
N0.HOG0001502	OG0001386	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14869	isotig03248_Past
N0.HOG0001503	OG0001387	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18731, Siderastrea_Mexico_Barshis-Radice_Host_contig14865	
N0.HOG0001504	OG0001388	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18010, Siderastrea_Mexico_Barshis-Radice_Host_contig17802	
N0.HOG0001505	OG0001389	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02587	isotig19743_Past
N0.HOG0001506	OG0001390	-	Siderastrea_Mexico_Barshis-Radice_Host_contig19099	GCKDGN103FT2I1_Past
N0.HOG0001507	OG0001391	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06914	GCKDGN101B4FN3_Past
N0.HOG0001508	OG0001392	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03183	isotig01686_Past
N0.HOG0001509	OG0001393	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03182, Siderastrea_Mexico_Barshis-Radice_Host_contig15597	
N0.HOG0001510	OG0001394	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03187	isotig11130_Past
N0.HOG0001511	OG0001395	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03186	isotig05627_Past
N0.HOG0001512	OG0001396	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11155	isotig23067_Past
N0.HOG0001513	OG0001397	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07034	isotig12460_Past
N0.HOG0001514	OG0001398	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11158	isotig00260_Past
N0.HOG0001515	OG0001399	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15090, Siderastrea_Mexico_Barshis-Radice_Host_contig01981	
N0.HOG0001516	OG0001400	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05307, Siderastrea_Mexico_Barshis-Radice_Host_contig00429	
N0.HOG0001517	OG0001401	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15094	isotig04595_Past
N0.HOG0001518	OG0001402	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15097	isotig26855_Past
N0.HOG0001519	OG0001403	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09464, Siderastrea_Mexico_Barshis-Radice_Host_contig00421	
N0.HOG0001520	OG0001404	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09064, Siderastrea_Mexico_Barshis-Radice_Host_contig00427	
N0.HOG0001521	OG0001405	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06642	isotig09785_Past
N0.HOG0001522	OG0001406	-	Siderastrea_Mexico_Barshis-Radice_Host_contig08407	GCKDGN101AMDS1_Past
N0.HOG0001523	OG0001407	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18389, Siderastrea_Mexico_Barshis-Radice_Host_contig12535	
N0.HOG0001524	OG0001408	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18388	isotig04985_Past
N0.HOG0001525	OG0001409	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18385	isotig10943_Past
N0.HOG0001526	OG0001410	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09413, Siderastrea_Mexico_Barshis-Radice_Host_contig18384	
N0.HOG0001527	OG0001411	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02142, Siderastrea_Mexico_Barshis-Radice_Host_contig11972	
N0.HOG0001528	OG0001412	-	Siderastrea_Mexico_Barshis-Radice_Host_contig10576	GCKDGN102EXD6Y_Past
N0.HOG0001529	OG0001413	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00522, Siderastrea_Mexico_Barshis-Radice_Host_contig04462	
N0.HOG0001530	OG0001414	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00520	isotig03509_Past
N0.HOG0001531	OG0001415	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03644, Siderastrea_Mexico_Barshis-Radice_Host_contig05171	
N0.HOG0001532	OG0001416	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15660	isotig11462_Past
N0.HOG0001533	OG0001417	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04243	isotig05856_Past
N0.HOG0001534	OG0001418	-	Siderastrea_Mexico_Barshis-Radice_Host_contig10521, Siderastrea_Mexico_Barshis-Radice_Host_contig04242	
N0.HOG0001535	OG0001419	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04539	GE913042_Past
N0.HOG0001536	OG0001420	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09504	isotig03815_Past
N0.HOG0001537	OG0001421	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13009, Siderastrea_Mexico_Barshis-Radice_Host_contig12095	
N0.HOG0001538	OG0001422	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14059, Siderastrea_Mexico_Barshis-Radice_Host_contig13019	
N0.HOG0001539	OG0001423	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13383, Siderastrea_Mexico_Barshis-Radice_Host_contig13000	
N0.HOG0001540	OG0001424	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13002	isotig24451_Past
N0.HOG0001541	OG0001425	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11350, Siderastrea_Mexico_Barshis-Radice_Host_contig13006	
N0.HOG0001542	OG0001426	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17243	isotig06574_Past
N0.HOG0001543	OG0001427	-	Siderastrea_Mexico_Barshis-Radice_Host_contig08904, Siderastrea_Mexico_Barshis-Radice_Host_contig01698	
N0.HOG0001544	OG0001428	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02346	isotig19980_Past
N0.HOG0001545	OG0001429	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02347	isotig13717_Past
N0.HOG0001546	OG0001430	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12926, Siderastrea_Mexico_Barshis-Radice_Host_contig02001	
N0.HOG0001547	OG0001431	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11716	isotig06690_Past
N0.HOG0001548	OG0001432	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06929, Siderastrea_Mexico_Barshis-Radice_Host_contig06167	
N0.HOG0001549	OG0001433	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17651	isotig13211_Past
N0.HOG0001550	OG0001434	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06504, Siderastrea_Mexico_Barshis-Radice_Host_contig11204	
N0.HOG0001551	OG0001435	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07524, Siderastrea_Mexico_Barshis-Radice_Host_contig05434	
N0.HOG0001552	OG0001436	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17849, Siderastrea_Mexico_Barshis-Radice_Host_contig03754	
N0.HOG0001553	OG0001437	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13863, Siderastrea_Mexico_Barshis-Radice_Host_contig03755	
N0.HOG0001554	OG0001438	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18213, Siderastrea_Mexico_Barshis-Radice_Host_contig03751	
N0.HOG0001555	OG0001439	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01667, Siderastrea_Mexico_Barshis-Radice_Host_contig01378	
N0.HOG0001556	OG0001440	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06259, Siderastrea_Mexico_Barshis-Radice_Host_contig18368	
N0.HOG0001557	OG0001441	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04616	isotig11226_Past
N0.HOG0001558	OG0001442	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11112	isotig17227_Past
N0.HOG0001559	OG0001443	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09501	isotig26822_Past
N0.HOG0001560	OG0001444	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06378	GCKDGN102EDWKE_Past
N0.HOG0001561	OG0001445	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07434	isotig27977_Past
N0.HOG0001562	OG0001446	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07436, Siderastrea_Mexico_Barshis-Radice_Host_contig13890	
N0.HOG0001563	OG0001447	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07433, Siderastrea_Mexico_Barshis-Radice_Host_contig01388	
N0.HOG0001564	OG0001448	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15604	isotig07213_Past
N0.HOG0001565	OG0001449	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01712, Siderastrea_Mexico_Barshis-Radice_Host_contig06371	
N0.HOG0001566	OG0001450	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00275, Siderastrea_Mexico_Barshis-Radice_Host_contig02702	
N0.HOG0001567	OG0001451	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09303	isotig30157_Past
N0.HOG0001568	OG0001452	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06012, Siderastrea_Mexico_Barshis-Radice_Host_contig06374	
N0.HOG0001569	OG0001453	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13821, Siderastrea_Mexico_Barshis-Radice_Host_contig07548	
N0.HOG0001570	OG0001454	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13824	isotig08514_Past
N0.HOG0001571	OG0001455	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01101	isotig09244_Past
N0.HOG0001572	OG0001456	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15701	isotig25918_Past
N0.HOG0001573	OG0001457	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04167	isotig05409_Past
N0.HOG0001574	OG0001458	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04341	isotig04825_Past
N0.HOG0001575	OG0001459	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02706	isotig03291_Past
N0.HOG0001576	OG0001460	-	Siderastrea_Mexico_Barshis-Radice_Host_contig10551	GCKDGN103FX4G9_Past
N0.HOG0001577	OG0001461	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02617, Siderastrea_Mexico_Barshis-Radice_Host_contig00544	
N0.HOG0001578	OG0001462	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06455	isotig07006_Past
N0.HOG0001579	OG0001463	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06480, Siderastrea_Mexico_Barshis-Radice_Host_contig06459	
N0.HOG0001580	OG0001464	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18598	isotig01746_Past
N0.HOG0001581	OG0001465	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12523	isotig11144_Past
N0.HOG0001582	OG0001466	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03267, Siderastrea_Mexico_Barshis-Radice_Host_contig11447	
N0.HOG0001583	OG0001467	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12528	isotig26256_Past
N0.HOG0001584	OG0001468	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09656, Siderastrea_Mexico_Barshis-Radice_Host_contig14241	
N0.HOG0001585	OG0001469	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02810	isotig02570_Past
N0.HOG0001586	OG0001470	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01442, Siderastrea_Mexico_Barshis-Radice_Host_contig09841	
N0.HOG0001587	OG0001471	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14540, Siderastrea_Mexico_Barshis-Radice_Host_contig02085	
N0.HOG0001588	OG0001472	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05113	GCKDGN103F3FNV_Past
N0.HOG0001589	OG0001473	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12294	isotig12946_Past
N0.HOG0001590	OG0001474	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12291	isotig03315_Past
N0.HOG0001591	OG0001475	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06061	isotig08999_Past
N0.HOG0001592	OG0001476	-	Siderastrea_Mexico_Barshis-Radice_Host_contig08247, Siderastrea_Mexico_Barshis-Radice_Host_contig06068	
N0.HOG0001593	OG0001477	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13216	isotig25708_Past
N0.HOG0001594	OG0001478	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01486	isotig16300_Past
N0.HOG0001595	OG0001479	-	Siderastrea_Mexico_Barshis-Radice_Host_contig19195	isotig18005_Past
N0.HOG0001596	OG0001480	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14825, Siderastrea_Mexico_Barshis-Radice_Host_contig02542	
N0.HOG0001597	OG0001481	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11897, Siderastrea_Mexico_Barshis-Radice_Host_contig02610	
N0.HOG0001598	OG0001482	-	Siderastrea_Mexico_Barshis-Radice_Host_contig04608, Siderastrea_Mexico_Barshis-Radice_Host_contig18986	
N0.HOG0001599	OG0001483	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00470, Siderastrea_Mexico_Barshis-Radice_Host_contig14841	
N0.HOG0001600	OG0001484	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17277, Siderastrea_Mexico_Barshis-Radice_Host_contig07452	
N0.HOG0001601	OG0001485	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17827	isotig04556_Past
N0.HOG0001602	OG0001486	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17825	isotig01210_Past
N0.HOG0001603	OG0001487	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17824, Siderastrea_Mexico_Barshis-Radice_Host_contig15154	
N0.HOG0001604	OG0001488	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07089	isotig04294_Past
N0.HOG0001605	OG0001489	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17821	isotig17029_Past
N0.HOG0001606	OG0001490	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07081	GCKDGN103G99HN_Past
N0.HOG0001607	OG0001491	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01395, Siderastrea_Mexico_Barshis-Radice_Host_contig05184	
N0.HOG0001608	OG0001492	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14596	isotig08227_Past
N0.HOG0001609	OG0001493	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14591	isotig20214_Past
N0.HOG0001610	OG0001494	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12959	isotig04669_Past
N0.HOG0001611	OG0001495	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09778, Siderastrea_Mexico_Barshis-Radice_Host_contig03993	
N0.HOG0001612	OG0001496	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00193	isotig05923_Past
N0.HOG0001613	OG0001497	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11179	isotig26795_Past
N0.HOG0001614	OG0001498	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15871, Siderastrea_Mexico_Barshis-Radice_Host_contig11174	
N0.HOG0001615	OG0001499	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11170	GCKDGN103GRFWM_Past
N0.HOG0001616	OG0001500	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03257	isotig06214_Past
N0.HOG0001617	OG0001501	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00448, Siderastrea_Mexico_Barshis-Radice_Host_contig12424	
N0.HOG0001618	OG0001502	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00447	isotig14199_Past
N0.HOG0001619	OG0001503	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05122, Siderastrea_Mexico_Barshis-Radice_Host_contig00443	
N0.HOG0001620	OG0001504	-	Siderastrea_Mexico_Barshis-Radice_Host_contig16597, Siderastrea_Mexico_Barshis-Radice_Host_contig15668	
N0.HOG0001621	OG0001505	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05047	GCKDGN102C92JY_Past
N0.HOG0001622	OG0001506	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02089	isotig09380_Past
N0.HOG0001623	OG0001507	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06660	isotig04362_Past
N0.HOG0001624	OG0001508	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13357, Siderastrea_Mexico_Barshis-Radice_Host_contig05488	
N0.HOG0001625	OG0001509	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05489	isotig04813_Past
N0.HOG0001626	OG0001510	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13897, Siderastrea_Mexico_Barshis-Radice_Host_contig05486	
N0.HOG0001627	OG0001511	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05480, Siderastrea_Mexico_Barshis-Radice_Host_contig16026	
N0.HOG0001628	OG0001512	-	Siderastrea_Mexico_Barshis-Radice_Host_contig10779	isotig24058_Past
N0.HOG0001629	OG0001513	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18254	isotig03457_Past
N0.HOG0001630	OG0001514	-	Siderastrea_Mexico_Barshis-Radice_Host_contig08937	isotig16813_Past
N0.HOG0001631	OG0001515	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06597, Siderastrea_Mexico_Barshis-Radice_Host_contig01088	
N0.HOG0001632	OG0001516	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05150	isotig01102_Past
N0.HOG0001633	OG0001517	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01718, Siderastrea_Mexico_Barshis-Radice_Host_contig10756	
N0.HOG0001634	OG0001518	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03004	isotig20571_Past
N0.HOG0001635	OG0001519	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14034	isotig04030_Past
N0.HOG0001636	OG0001520	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14032	isotig08548_Past
N0.HOG0001637	OG0001521	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09489	isotig22016_Past
N0.HOG0001638	OG0001522	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18944	isotig15145_Past
N0.HOG0001639	OG0001523	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07629, Siderastrea_Mexico_Barshis-Radice_Host_contig17275	
N0.HOG0001640	OG0001524	-	Siderastrea_Mexico_Barshis-Radice_Host_contig08888, Siderastrea_Mexico_Barshis-Radice_Host_contig09443	
N0.HOG0001641	OG0001525	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11771, Siderastrea_Mexico_Barshis-Radice_Host_contig04815	
N0.HOG0001642	OG0001526	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09990, Siderastrea_Mexico_Barshis-Radice_Host_contig11779	
N0.HOG0001643	OG0001527	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12882, Siderastrea_Mexico_Barshis-Radice_Host_contig14758	
N0.HOG0001644	OG0001528	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12889	isotig11911_Past
N0.HOG0001645	OG0001529	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03419	isotig17639_Past
N0.HOG0001646	OG0001530	-	Siderastrea_Mexico_Barshis-Radice_Host_contig10002, Siderastrea_Mexico_Barshis-Radice_Host_contig03417	
N0.HOG0001647	OG0001531	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07010	GCKDGN101BVVWK_Past
N0.HOG0001648	OG0001532	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09066, Siderastrea_Mexico_Barshis-Radice_Host_contig03248	
N0.HOG0001649	OG0001533	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12028, Siderastrea_Mexico_Barshis-Radice_Host_contig15277	
N0.HOG0001650	OG0001534	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14302	isotig03871_Past
N0.HOG0001651	OG0001535	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03736, Siderastrea_Mexico_Barshis-Radice_Host_contig01365	
N0.HOG0001652	OG0001536	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15856	GCKDGN103HH0UP_Past
N0.HOG0001653	OG0001537	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03732, Siderastrea_Mexico_Barshis-Radice_Host_contig08914	
N0.HOG0001654	OG0001538	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03619, Siderastrea_Mexico_Barshis-Radice_Host_contig03730	
N0.HOG0001655	OG0001539	-	Siderastrea_Mexico_Barshis-Radice_Host_contig10820	isotig09077_Past
N0.HOG0001656	OG0001540	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14224	isotig00318_Past
N0.HOG0001657	OG0001541	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12199, Siderastrea_Mexico_Barshis-Radice_Host_contig03086	
N0.HOG0001658	OG0001542	-	Siderastrea_Mexico_Barshis-Radice_Host_contig03087	isotig12727_Past
N0.HOG0001659	OG0001543	-	Siderastrea_Mexico_Barshis-Radice_Host_contig10724, Siderastrea_Mexico_Barshis-Radice_Host_contig00105	
N0.HOG0001660	OG0001544	-	Siderastrea_Mexico_Barshis-Radice_Host_contig08857	isotig20456_Past
N0.HOG0001661	OG0001545	-	Siderastrea_Mexico_Barshis-Radice_Host_contig07798, Siderastrea_Mexico_Barshis-Radice_Host_contig04737	
N0.HOG0001662	OG0001546	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05387	GCKDGN101B7BVV_Past
N0.HOG0001663	OG0001547	-	Siderastrea_Mexico_Barshis-Radice_Host_contig14836, Siderastrea_Mexico_Barshis-Radice_Host_contig13848	
N0.HOG0001664	OG0001548	-	Siderastrea_Mexico_Barshis-Radice_Host_contig05364, Siderastrea_Mexico_Barshis-Radice_Host_contig15527	
N0.HOG0001665	OG0001549	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09635	isotig07725_Past
N0.HOG0001666	OG0001550	-	Siderastrea_Mexico_Barshis-Radice_Host_contig01972, Siderastrea_Mexico_Barshis-Radice_Host_contig18759	
N0.HOG0001667	OG0001551	-	Siderastrea_Mexico_Barshis-Radice_Host_contig18029	isotig09949_Past
N0.HOG0001668	OG0001552	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09819	isotig12464_Past
N0.HOG0001669	OG0001553	-	Siderastrea_Mexico_Barshis-Radice_Host_contig09814	GCKDGN103GSKW2_Past
N0.HOG0001670	OG0001554	-	Siderastrea_Mexico_Barshis-Radice_Host_contig16770, Siderastrea_Mexico_Barshis-Radice_Host_contig06439	
N0.HOG0001671	OG0001555	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06437	isotig05076_Past
N0.HOG0001672	OG0001556	-	Siderastrea_Mexico_Barshis-Radice_Host_contig06434	isotig05439_Past
N0.HOG0001673	OG0001557	-	Siderastrea_Mexico_Barshis-Radice_Host_contig00793, Siderastrea_Mexico_Barshis-Radice_Host_contig10017	
N0.HOG0001674	OG0001558	-	Siderastrea_Mexico_Barshis-Radice_Host_contig16470, Siderastrea_Mexico_Barshis-Radice_Host_contig12501	
N0.HOG0001675	OG0001559	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17969, Siderastrea_Mexico_Barshis-Radice_Host_contig12500	
N0.HOG0001676	OG0001560	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02521	isotig07707_Past
N0.HOG0001677	OG0001561	-	Siderastrea_Mexico_Barshis-Radice_Host_contig12696, Siderastrea_Mexico_Barshis-Radice_Host_contig06044	
N0.HOG0001678	OG0001562	-	Siderastrea_Mexico_Barshis-Radice_Host_contig16856, Siderastrea_Mexico_Barshis-Radice_Host_contig13273	
N0.HOG0001679	OG0001563	-	Siderastrea_Mexico_Barshis-Radice_Host_contig13271	isotig04581_Past
N0.HOG0001680	OG0001564	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17107	isotig26454_Past
N0.HOG0001681	OG0001565	-	Siderastrea_Mexico_Barshis-Radice_Host_contig11696	isotig24708_Past
N0.HOG0001682	OG0001566	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02281, Siderastrea_Mexico_Barshis-Radice_Host_contig17276	
N0.HOG0001683	OG0001567	-	Siderastrea_Mexico_Barshis-Radice_Host_contig19178, Siderastrea_Mexico_Barshis-Radice_Host_contig15991	
N0.HOG0001684	OG0001568	-	Siderastrea_Mexico_Barshis-Radice_Host_contig08867, Siderastrea_Mexico_Barshis-Radice_Host_contig02283	
N0.HOG0001685	OG0001569	-	Siderastrea_Mexico_Barshis-Radice_Host_contig02282	isotig26360_Past
N0.HOG0001686	OG0001570	-	Siderastrea_Mexico_Barshis-Radice_Host_contig15999, Siderastrea_Mexico_Barshis-Radice_Host_contig18609	
N0.HOG0001687	OG0001571	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17591	isotig03744_Past
N0.HOG0001688	OG0001572	-	Siderastrea_Mexico_Barshis-Radice_Host_contig17920, Siderastrea_Mexico_Barshis-Radice_Host_contig02632	
