"","orthogroup","gene_Sid","isotig"
"N0.HOG0002094","N0.HOG0002094","Siderastrea_Mexico_Barshis-Radice_Host_contig02200","isotig04844_Past"
"N0.HOG0002095","N0.HOG0002095","Siderastrea_Mexico_Barshis-Radice_Host_contig04332","GCKDGN101BXJ5U_Past"
"N0.HOG0002097","N0.HOG0002097","Siderastrea_Mexico_Barshis-Radice_Host_contig14097","isotig03513_Past"
"N0.HOG0002098","N0.HOG0002098","Siderastrea_Mexico_Barshis-Radice_Host_contig14095","isotig03745_Past"
"N0.HOG0002099","N0.HOG0002099","Siderastrea_Mexico_Barshis-Radice_Host_contig17289","GCKDGN103F6YP3_Past"
"N0.HOG0002101","N0.HOG0002101","Siderastrea_Mexico_Barshis-Radice_Host_contig10175","GCKDGN102EGKJH_Past"
"N0.HOG0002102","N0.HOG0002102","Siderastrea_Mexico_Barshis-Radice_Host_contig10170","isotig04341_Past"
"N0.HOG0002103","N0.HOG0002103","Siderastrea_Mexico_Barshis-Radice_Host_contig06248","isotig03974_Past"
"N0.HOG0002104","N0.HOG0002104","Siderastrea_Mexico_Barshis-Radice_Host_contig06242","GCKDGN101CJ5ZK_Past"
"N0.HOG0002105","N0.HOG0002105","Siderastrea_Mexico_Barshis-Radice_Host_contig06309","isotig02060_Past"
"N0.HOG0002106","N0.HOG0002106","Siderastrea_Mexico_Barshis-Radice_Host_contig03967","isotig21723_Past"
"N0.HOG0002107","N0.HOG0002107","Siderastrea_Mexico_Barshis-Radice_Host_contig03963","isotig04930_Past"
"N0.HOG0002109","N0.HOG0002109","Siderastrea_Mexico_Barshis-Radice_Host_contig13157","isotig11424_Past"
"N0.HOG0002110","N0.HOG0002110","Siderastrea_Mexico_Barshis-Radice_Host_contig00565","GCKDGN103HJPCL_Past"
"N0.HOG0002113","N0.HOG0002113","Siderastrea_Mexico_Barshis-Radice_Host_contig13563","isotig23511_Past"
"N0.HOG0002114","N0.HOG0002114","Siderastrea_Mexico_Barshis-Radice_Host_contig02158","isotig27457_Past"
"N0.HOG0002115","N0.HOG0002115","Siderastrea_Mexico_Barshis-Radice_Host_contig11428","isotig03254_Past"
"N0.HOG0002116","N0.HOG0002116","Siderastrea_Mexico_Barshis-Radice_Host_contig07309","isotig11099_Past"
"N0.HOG0002117","N0.HOG0002117","Siderastrea_Mexico_Barshis-Radice_Host_contig02152","isotig13060_Past"
"N0.HOG0002118","N0.HOG0002118","Siderastrea_Mexico_Barshis-Radice_Host_contig01980","isotig00334_Past"
"N0.HOG0002119","N0.HOG0002119","Siderastrea_Mexico_Barshis-Radice_Host_contig17706","isotig13885_Past"
"N0.HOG0002120","N0.HOG0002120","Siderastrea_Mexico_Barshis-Radice_Host_contig17705","isotig19569_Past"
"N0.HOG0002123","N0.HOG0002123","Siderastrea_Mexico_Barshis-Radice_Host_contig06870","isotig03893_Past"
"N0.HOG0002124","N0.HOG0002124","Siderastrea_Mexico_Barshis-Radice_Host_contig06871","isotig06543_Past"
"N0.HOG0002126","N0.HOG0002126","Siderastrea_Mexico_Barshis-Radice_Host_contig04654","isotig12216_Past"
"N0.HOG0002128","N0.HOG0002128","Siderastrea_Mexico_Barshis-Radice_Host_contig15250","GCKDGN102DEVYF_Past"
"N0.HOG0002129","N0.HOG0002129","Siderastrea_Mexico_Barshis-Radice_Host_contig15251","isotig07045_Past"
"N0.HOG0002131","N0.HOG0002131","Siderastrea_Mexico_Barshis-Radice_Host_contig02845","isotig13363_Past"
"N0.HOG0002132","N0.HOG0002132","Siderastrea_Mexico_Barshis-Radice_Host_contig03353","isotig10327_Past"
"N0.HOG0002134","N0.HOG0002134","Siderastrea_Mexico_Barshis-Radice_Host_contig08300","isotig19357_Past"
"N0.HOG0002135","N0.HOG0002135","Siderastrea_Mexico_Barshis-Radice_Host_contig14447","isotig03320_Past"
"N0.HOG0002136","N0.HOG0002136","Siderastrea_Mexico_Barshis-Radice_Host_contig01888","GCKDGN101AZI0G_Past"
"N0.HOG0002138","N0.HOG0002138","Siderastrea_Mexico_Barshis-Radice_Host_contig13950","isotig29101_Past"
"N0.HOG0002140","N0.HOG0002140","Siderastrea_Mexico_Barshis-Radice_Host_contig15620","isotig03920_Past"
"N0.HOG0002142","N0.HOG0002142","Siderastrea_Mexico_Barshis-Radice_Host_contig06490","GCKDGN102EGD6Y_Past"
"N0.HOG0002144","N0.HOG0002144","Siderastrea_Mexico_Barshis-Radice_Host_contig05213","isotig11156_Past"
"N0.HOG0002145","N0.HOG0002145","Siderastrea_Mexico_Barshis-Radice_Host_contig01054","isotig03199_Past"
"N0.HOG0002146","N0.HOG0002146","Siderastrea_Mexico_Barshis-Radice_Host_contig17060","isotig08370_Past"
"N0.HOG0002148","N0.HOG0002148","Siderastrea_Mexico_Barshis-Radice_Host_contig11963","isotig07219_Past"
"N0.HOG0002150","N0.HOG0002150","Siderastrea_Mexico_Barshis-Radice_Host_contig13706","isotig05979_Past"
"N0.HOG0002153","N0.HOG0002153","Siderastrea_Mexico_Barshis-Radice_Host_contig02977","isotig12000_Past"
"N0.HOG0002155","N0.HOG0002155","Siderastrea_Mexico_Barshis-Radice_Host_contig05944","isotig28279_Past"
"N0.HOG0002156","N0.HOG0002156","Siderastrea_Mexico_Barshis-Radice_Host_contig17491","GCKDGN103G5UCZ_Past"
"N0.HOG0002157","N0.HOG0002157","Siderastrea_Mexico_Barshis-Radice_Host_contig17496","isotig03696_Past"
"N0.HOG0002158","N0.HOG0002158","Siderastrea_Mexico_Barshis-Radice_Host_contig10613","isotig18241_Past"
"N0.HOG0002160","N0.HOG0002160","Siderastrea_Mexico_Barshis-Radice_Host_contig11632","isotig07612_Past"
"N0.HOG0002161","N0.HOG0002161","Siderastrea_Mexico_Barshis-Radice_Host_contig11634","isotig05444_Past"
"N0.HOG0002162","N0.HOG0002162","Siderastrea_Mexico_Barshis-Radice_Host_contig11635","isotig05028_Past"
"N0.HOG0002163","N0.HOG0002163","Siderastrea_Mexico_Barshis-Radice_Host_contig11636","isotig20836_Past"
"N0.HOG0002165","N0.HOG0002165","Siderastrea_Mexico_Barshis-Radice_Host_contig03514","isotig03818_Past"
"N0.HOG0002167","N0.HOG0002167","Siderastrea_Mexico_Barshis-Radice_Host_contig12610","isotig05355_Past"
"N0.HOG0002168","N0.HOG0002168","Siderastrea_Mexico_Barshis-Radice_Host_contig12616","isotig10436_Past"
"N0.HOG0002173","N0.HOG0002173","Siderastrea_Mexico_Barshis-Radice_Host_contig07712","isotig04107_Past"
"N0.HOG0002174","N0.HOG0002174","Siderastrea_Mexico_Barshis-Radice_Host_contig17864","GCKDGN101B9TU2_Past"
"N0.HOG0002176","N0.HOG0002176","Siderastrea_Mexico_Barshis-Radice_Host_contig16622","isotig09327_Past"
"N0.HOG0002177","N0.HOG0002177","Siderastrea_Mexico_Barshis-Radice_Host_contig15392","GCKDGN103G7UG2_Past"
"N0.HOG0002179","N0.HOG0002179","Siderastrea_Mexico_Barshis-Radice_Host_contig00152","GCKDGN103GBH0I_Past"
"N0.HOG0002180","N0.HOG0002180","Siderastrea_Mexico_Barshis-Radice_Host_contig02748","isotig03671_Past"
"N0.HOG0002182","N0.HOG0002182","Siderastrea_Mexico_Barshis-Radice_Host_contig17931","GCKDGN103GVE0P_Past"
"N0.HOG0002183","N0.HOG0002183","Siderastrea_Mexico_Barshis-Radice_Host_contig17936","isotig05774_Past"
"N0.HOG0002186","N0.HOG0002186","Siderastrea_Mexico_Barshis-Radice_Host_contig11391","GCKDGN102EDU8G_Past"
"N0.HOG0002187","N0.HOG0002187","Siderastrea_Mexico_Barshis-Radice_Host_contig05912","isotig10883_Past"
"N0.HOG0002188","N0.HOG0002188","Siderastrea_Mexico_Barshis-Radice_Host_contig01204","GCKDGN101B6W7U_Past"
"N0.HOG0002190","N0.HOG0002190","Siderastrea_Mexico_Barshis-Radice_Host_contig07332","isotig04027_Past"
"N0.HOG0002192","N0.HOG0002192","Siderastrea_Mexico_Barshis-Radice_Host_contig08271","isotig04074_Past"
"N0.HOG0002193","N0.HOG0002193","Siderastrea_Mexico_Barshis-Radice_Host_contig04352","isotig12578_Past"
"N0.HOG0002194","N0.HOG0002194","Siderastrea_Mexico_Barshis-Radice_Host_contig08531","isotig08767_Past"
"N0.HOG0002195","N0.HOG0002195","Siderastrea_Mexico_Barshis-Radice_Host_contig01925","isotig16041_Past"
"N0.HOG0002196","N0.HOG0002196","Siderastrea_Mexico_Barshis-Radice_Host_contig10048","GCKDGN101APB9V_Past"
"N0.HOG0002197","N0.HOG0002197","Siderastrea_Mexico_Barshis-Radice_Host_contig15478","isotig03382_Past"
"N0.HOG0002198","N0.HOG0002198","Siderastrea_Mexico_Barshis-Radice_Host_contig15475","isotig04623_Past"
"N0.HOG0002200","N0.HOG0002200","Siderastrea_Mexico_Barshis-Radice_Host_contig18962","isotig20500_Past"
"N0.HOG0002201","N0.HOG0002201","Siderastrea_Mexico_Barshis-Radice_Host_contig00635","isotig26771_Past"
"N0.HOG0002207","N0.HOG0002207","Siderastrea_Mexico_Barshis-Radice_Host_contig03982","isotig25283_Past"
"N0.HOG0002209","N0.HOG0002209","Siderastrea_Mexico_Barshis-Radice_Host_contig01581","isotig23994_Past"
"N0.HOG0002211","N0.HOG0002211","Siderastrea_Mexico_Barshis-Radice_Host_contig01584","isotig24989_Past"
"N0.HOG0002212","N0.HOG0002212","Siderastrea_Mexico_Barshis-Radice_Host_contig15896","GCKDGN102EOP1C_Past"
"N0.HOG0002215","N0.HOG0002215","Siderastrea_Mexico_Barshis-Radice_Host_contig02175","isotig12826_Past"
"N0.HOG0002216","N0.HOG0002216","Siderastrea_Mexico_Barshis-Radice_Host_contig12264","isotig01088_Past"
"N0.HOG0002217","N0.HOG0002217","Siderastrea_Mexico_Barshis-Radice_Host_contig16911","isotig14033_Past"
"N0.HOG0002218","N0.HOG0002218","Siderastrea_Mexico_Barshis-Radice_Host_contig17727","isotig06562_Past"
"N0.HOG0002224","N0.HOG0002224","Siderastrea_Mexico_Barshis-Radice_Host_contig04635","isotig21943_Past"
"N0.HOG0002226","N0.HOG0002226","Siderastrea_Mexico_Barshis-Radice_Host_contig04639","isotig11129_Past"
"N0.HOG0002229","N0.HOG0002229","Siderastrea_Mexico_Barshis-Radice_Host_contig04181","isotig21993_Past"
"N0.HOG0002231","N0.HOG0002231","Siderastrea_Mexico_Barshis-Radice_Host_contig07720","isotig22815_Past"
"N0.HOG0002233","N0.HOG0002233","Siderastrea_Mexico_Barshis-Radice_Host_contig06828","isotig21122_Past"
"N0.HOG0002236","N0.HOG0002236","Siderastrea_Mexico_Barshis-Radice_Host_contig15641","isotig11587_Past"
"N0.HOG0002237","N0.HOG0002237","Siderastrea_Mexico_Barshis-Radice_Host_contig05768","isotig06490_Past"
"N0.HOG0002240","N0.HOG0002240","Siderastrea_Mexico_Barshis-Radice_Host_contig01070","isotig20518_Past"
"N0.HOG0002241","N0.HOG0002241","Siderastrea_Mexico_Barshis-Radice_Host_contig01075","isotig04986_Past"
"N0.HOG0002242","N0.HOG0002242","Siderastrea_Mexico_Barshis-Radice_Host_contig01074","isotig04249_Past"
"N0.HOG0002243","N0.HOG0002243","Siderastrea_Mexico_Barshis-Radice_Host_contig09059","GCKDGN101CG6IN_Past"
"N0.HOG0002244","N0.HOG0002244","Siderastrea_Mexico_Barshis-Radice_Host_contig09050","isotig03488_Past"
"N0.HOG0002245","N0.HOG0002245","Siderastrea_Mexico_Barshis-Radice_Host_contig09054","isotig04900_Past"
"N0.HOG0002246","N0.HOG0002246","Siderastrea_Mexico_Barshis-Radice_Host_contig09056","isotig04077_Past"
"N0.HOG0002248","N0.HOG0002248","Siderastrea_Mexico_Barshis-Radice_Host_contig10100","isotig31224_Past"
"N0.HOG0002249","N0.HOG0002249","Siderastrea_Mexico_Barshis-Radice_Host_contig11985","isotig10585_Past"
"N0.HOG0002250","N0.HOG0002250","Siderastrea_Mexico_Barshis-Radice_Host_contig13724","GCKDGN102DMSXF_Past"
"N0.HOG0002252","N0.HOG0002252","Siderastrea_Mexico_Barshis-Radice_Host_contig18602","isotig01952_Past"
"N0.HOG0002254","N0.HOG0002254","Siderastrea_Mexico_Barshis-Radice_Host_contig01462","isotig25858_Past"
"N0.HOG0002257","N0.HOG0002257","Siderastrea_Mexico_Barshis-Radice_Host_contig10637","isotig07780_Past"
"N0.HOG0002258","N0.HOG0002258","Siderastrea_Mexico_Barshis-Radice_Host_contig18316","isotig25252_Past"
"N0.HOG0002260","N0.HOG0002260","Siderastrea_Mexico_Barshis-Radice_Host_contig03534","GCKDGN102ECY10_Past"
"N0.HOG0002262","N0.HOG0002262","Siderastrea_Mexico_Barshis-Radice_Host_contig12675","isotig14323_Past"
"N0.HOG0002263","N0.HOG0002263","Siderastrea_Mexico_Barshis-Radice_Host_contig12677","isotig23561_Past"
"N0.HOG0002266","N0.HOG0002266","Siderastrea_Mexico_Barshis-Radice_Host_contig08329","isotig08024_Past"
"N0.HOG0002267","N0.HOG0002267","Siderastrea_Mexico_Barshis-Radice_Host_contig16609","isotig22133_Past"
"N0.HOG0002268","N0.HOG0002268","Siderastrea_Mexico_Barshis-Radice_Host_contig06565","isotig23283_Past"
"N0.HOG0002274","N0.HOG0002274","Siderastrea_Mexico_Barshis-Radice_Host_contig11211","isotig05314_Past"
"N0.HOG0002275","N0.HOG0002275","Siderastrea_Mexico_Barshis-Radice_Host_contig11214","isotig09780_Past"
"N0.HOG0002277","N0.HOG0002277","Siderastrea_Mexico_Barshis-Radice_Host_contig09632","isotig11192_Past"
"N0.HOG0002279","N0.HOG0002279","Siderastrea_Mexico_Barshis-Radice_Host_contig17916","GE909546_Past"
"N0.HOG0002280","N0.HOG0002280","Siderastrea_Mexico_Barshis-Radice_Host_contig12807","isotig01120_Past"
"N0.HOG0002282","N0.HOG0002282","Siderastrea_Mexico_Barshis-Radice_Host_contig11374","GCKDGN102EQMUG_Past"
"N0.HOG0002287","N0.HOG0002287","Siderastrea_Mexico_Barshis-Radice_Host_contig04376","isotig03630_Past"
"N0.HOG0002290","N0.HOG0002290","Siderastrea_Mexico_Barshis-Radice_Host_contig08041","isotig25133_Past"
"N0.HOG0002293","N0.HOG0002293","Siderastrea_Mexico_Barshis-Radice_Host_contig05395","isotig10119_Past"
"N0.HOG0002295","N0.HOG0002295","Siderastrea_Mexico_Barshis-Radice_Host_contig18299","isotig03594_Past"
"N0.HOG0002296","N0.HOG0002296","Siderastrea_Mexico_Barshis-Radice_Host_contig10131","GCKDGN101B4GJT_Past"
"N0.HOG0002297","N0.HOG0002297","Siderastrea_Mexico_Barshis-Radice_Host_contig00618","isotig05844_Past"
"N0.HOG0002299","N0.HOG0002299","Siderastrea_Mexico_Barshis-Radice_Host_contig06280","isotig02268_Past"
"N0.HOG0002300","N0.HOG0002300","Siderastrea_Mexico_Barshis-Radice_Host_contig05027","isotig09619_Past"
"N0.HOG0002301","N0.HOG0002301","Siderastrea_Mexico_Barshis-Radice_Host_contig13413","isotig15954_Past"
"N0.HOG0002303","N0.HOG0002303","Siderastrea_Mexico_Barshis-Radice_Host_contig09646","isotig04980_Past"
"N0.HOG0002304","N0.HOG0002304","Siderastrea_Mexico_Barshis-Radice_Host_contig09647","isotig14309_Past"
"N0.HOG0002305","N0.HOG0002305","Siderastrea_Mexico_Barshis-Radice_Host_contig09648","isotig17162_Past"
"N0.HOG0002306","N0.HOG0002306","Siderastrea_Mexico_Barshis-Radice_Host_contig12869","GCKDGN102EKUP7_Past"
"N0.HOG0002307","N0.HOG0002307","Siderastrea_Mexico_Barshis-Radice_Host_contig16194","GCKDGN102EMCAW_Past"
"N0.HOG0002310","N0.HOG0002310","Siderastrea_Mexico_Barshis-Radice_Host_contig18831","isotig25652_Past"
"N0.HOG0002314","N0.HOG0002314","Siderastrea_Mexico_Barshis-Radice_Host_contig12247","isotig24165_Past"
"N0.HOG0002315","N0.HOG0002315","Siderastrea_Mexico_Barshis-Radice_Host_contig12242","isotig05474_Past"
"N0.HOG0002316","N0.HOG0002316","Siderastrea_Mexico_Barshis-Radice_Host_contig17749","isotig05289_Past"
"N0.HOG0002317","N0.HOG0002317","Siderastrea_Mexico_Barshis-Radice_Host_contig13283","isotig08814_Past"
"N0.HOG0002318","N0.HOG0002318","Siderastrea_Mexico_Barshis-Radice_Host_contig04618","isotig09862_Past"
"N0.HOG0002320","N0.HOG0002320","Siderastrea_Mexico_Barshis-Radice_Host_contig03647","isotig02606_Past"
"N0.HOG0002322","N0.HOG0002322","Siderastrea_Mexico_Barshis-Radice_Host_contig10169","isotig05368_Past"
"N0.HOG0002327","N0.HOG0002327","Siderastrea_Mexico_Barshis-Radice_Host_contig09955","isotig03334_Past"
"N0.HOG0002328","N0.HOG0002328","Siderastrea_Mexico_Barshis-Radice_Host_contig16832","isotig23688_Past"
"N0.HOG0002329","N0.HOG0002329","Siderastrea_Mexico_Barshis-Radice_Host_contig16831","isotig08729_Past"
"N0.HOG0002330","N0.HOG0002330","Siderastrea_Mexico_Barshis-Radice_Host_contig09952","isotig27389_Past"
"N0.HOG0002332","N0.HOG0002332","Siderastrea_Mexico_Barshis-Radice_Host_contig07931","isotig13530_Past"
"N0.HOG0002336","N0.HOG0002336","Siderastrea_Mexico_Barshis-Radice_Host_contig06154","isotig08456_Past"
"N0.HOG0002337","N0.HOG0002337","Siderastrea_Mexico_Barshis-Radice_Host_contig04549","isotig03185_Past"
"N0.HOG0002339","N0.HOG0002339","Siderastrea_Mexico_Barshis-Radice_Host_contig02937","isotig29038_Past"
"N0.HOG0002341","N0.HOG0002341","Siderastrea_Mexico_Barshis-Radice_Host_contig02289","isotig03300_Past"
"N0.HOG0002342","N0.HOG0002342","Siderastrea_Mexico_Barshis-Radice_Host_contig08706","isotig18997_Past"
"N0.HOG0002344","N0.HOG0002344","Siderastrea_Mexico_Barshis-Radice_Host_contig08708","isotig20809_Past"
"N0.HOG0002345","N0.HOG0002345","Siderastrea_Mexico_Barshis-Radice_Host_contig03884","isotig27688_Past"
"N0.HOG0002346","N0.HOG0002346","Siderastrea_Mexico_Barshis-Radice_Host_contig03886","isotig03720_Past"
"N0.HOG0002348","N0.HOG0002348","Siderastrea_Mexico_Barshis-Radice_Host_contig07065","isotig07955_Past"
"N0.HOG0002349","N0.HOG0002349","Siderastrea_Mexico_Barshis-Radice_Host_contig10655","isotig06597_Past"
"N0.HOG0002350","N0.HOG0002350","Siderastrea_Mexico_Barshis-Radice_Host_contig10654","GCKDGN103HGEZY_Past"
"N0.HOG0002352","N0.HOG0002352","Siderastrea_Mexico_Barshis-Radice_Host_contig00866","isotig04207_Past"
"N0.HOG0002355","N0.HOG0002355","Siderastrea_Mexico_Barshis-Radice_Host_contig12656","GCKDGN101B6TD1_Past"
"N0.HOG0002356","N0.HOG0002356","Siderastrea_Mexico_Barshis-Radice_Host_contig12658","isotig05832_Past"
"N0.HOG0002357","N0.HOG0002357","Siderastrea_Mexico_Barshis-Radice_Host_contig06132","isotig09305_Past"
"N0.HOG0002358","N0.HOG0002358","Siderastrea_Mexico_Barshis-Radice_Host_contig06139","isotig06089_Past"
"N0.HOG0002360","N0.HOG0002360","Siderastrea_Mexico_Barshis-Radice_Host_contig16769","isotig01058_Past"
"N0.HOG0002364","N0.HOG0002364","Siderastrea_Mexico_Barshis-Radice_Host_contig17683","GCKDGN102DURSL_Past"
"N0.HOG0002365","N0.HOG0002365","Siderastrea_Mexico_Barshis-Radice_Host_contig11233","GE911746_Past"
"N0.HOG0002366","N0.HOG0002366","Siderastrea_Mexico_Barshis-Radice_Host_contig11238","isotig08705_Past"
"N0.HOG0002367","N0.HOG0002367","Siderastrea_Mexico_Barshis-Radice_Host_contig19219","isotig08753_Past"
"N0.HOG0002368","N0.HOG0002368","Siderastrea_Mexico_Barshis-Radice_Host_contig10028","isotig05101_Past"
"N0.HOG0002372","N0.HOG0002372","Siderastrea_Mexico_Barshis-Radice_Host_contig14951","isotig04633_Past"
"N0.HOG0002373","N0.HOG0002373","Siderastrea_Mexico_Barshis-Radice_Host_contig16888","isotig11721_Past"
"N0.HOG0002375","N0.HOG0002375","Siderastrea_Mexico_Barshis-Radice_Host_contig03071","isotig12858_Past"
"N0.HOG0002376","N0.HOG0002376","Siderastrea_Mexico_Barshis-Radice_Host_contig03078","isotig15130_Past"
"N0.HOG0002377","N0.HOG0002377","Siderastrea_Mexico_Barshis-Radice_Host_contig08286","isotig31751_Past"
"N0.HOG0002378","N0.HOG0002378","Siderastrea_Mexico_Barshis-Radice_Host_contig09698","isotig30199_Past"
"N0.HOG0002380","N0.HOG0002380","Siderastrea_Mexico_Barshis-Radice_Host_contig04391","GE907925_Past"
"N0.HOG0002382","N0.HOG0002382","Siderastrea_Mexico_Barshis-Radice_Host_contig10333","isotig21215_Past"
"N0.HOG0002383","N0.HOG0002383","Siderastrea_Mexico_Barshis-Radice_Host_contig09224","GCKDGN101BDIA5_Past"
"N0.HOG0002384","N0.HOG0002384","Siderastrea_Mexico_Barshis-Radice_Host_contig13828","isotig22465_Past"
"N0.HOG0002385","N0.HOG0002385","Siderastrea_Mexico_Barshis-Radice_Host_contig10485","isotig08572_Past"
"N0.HOG0002386","N0.HOG0002386","Siderastrea_Mexico_Barshis-Radice_Host_contig00672","GCKDGN101AVKK4_Past"
"N0.HOG0002387","N0.HOG0002387","Siderastrea_Mexico_Barshis-Radice_Host_contig00671","isotig08170_Past"
"N0.HOG0002388","N0.HOG0002388","Siderastrea_Mexico_Barshis-Radice_Host_contig11825","isotig03825_Past"
"N0.HOG0002390","N0.HOG0002390","Siderastrea_Mexico_Barshis-Radice_Host_contig09625","GCKDGN102EAEYF_Past"
"N0.HOG0002392","N0.HOG0002392","Siderastrea_Mexico_Barshis-Radice_Host_contig06675","isotig05339_Past"
"N0.HOG0002394","N0.HOG0002394","Siderastrea_Mexico_Barshis-Radice_Host_contig14306","isotig04106_Past"
"N0.HOG0002395","N0.HOG0002395","Siderastrea_Mexico_Barshis-Radice_Host_contig18813","isotig10207_Past"
"N0.HOG0002396","N0.HOG0002396","Siderastrea_Mexico_Barshis-Radice_Host_contig09125","isotig14597_Past"
"N0.HOG0002397","N0.HOG0002397","Siderastrea_Mexico_Barshis-Radice_Host_contig07576","isotig05530_Past"
"N0.HOG0002399","N0.HOG0002399","Siderastrea_Mexico_Barshis-Radice_Host_contig13576","isotig07590_Past"
"N0.HOG0002401","N0.HOG0002401","Siderastrea_Mexico_Barshis-Radice_Host_contig02135","isotig30780_Past"
"N0.HOG0002402","N0.HOG0002402","Siderastrea_Mexico_Barshis-Radice_Host_contig12808","GCKDGN103HJ6JM_Past"
"N0.HOG0002403","N0.HOG0002403","Siderastrea_Mexico_Barshis-Radice_Host_contig02131","isotig00722_Past"
"N0.HOG0002404","N0.HOG0002404","Siderastrea_Mexico_Barshis-Radice_Host_contig12809","isotig06968_Past"
"N0.HOG0002405","N0.HOG0002405","Siderastrea_Mexico_Barshis-Radice_Host_contig12228","isotig13428_Past"
"N0.HOG0002408","N0.HOG0002408","Siderastrea_Mexico_Barshis-Radice_Host_contig06093","isotig22116_Past"
"N0.HOG0002411","N0.HOG0002411","Siderastrea_Mexico_Barshis-Radice_Host_contig12805","isotig25427_Past"
"N0.HOG0002412","N0.HOG0002412","Siderastrea_Mexico_Barshis-Radice_Host_contig06899","isotig11923_Past"
"N0.HOG0002414","N0.HOG0002414","Siderastrea_Mexico_Barshis-Radice_Host_contig04945","isotig14307_Past"
"N0.HOG0002415","N0.HOG0002415","Siderastrea_Mexico_Barshis-Radice_Host_contig03667","isotig28130_Past"
"N0.HOG0002416","N0.HOG0002416","Siderastrea_Mexico_Barshis-Radice_Host_contig04942","isotig03351_Past"
"N0.HOG0002417","N0.HOG0002417","Siderastrea_Mexico_Barshis-Radice_Host_contig15233","isotig11894_Past"
"N0.HOG0002418","N0.HOG0002418","Siderastrea_Mexico_Barshis-Radice_Host_contig15238","isotig28166_Past"
"N0.HOG0002419","N0.HOG0002419","Siderastrea_Mexico_Barshis-Radice_Host_contig15239","isotig11789_Past"
"N0.HOG0002424","N0.HOG0002424","Siderastrea_Mexico_Barshis-Radice_Host_contig07765","GCKDGN102DIUM2_Past"
"N0.HOG0002425","N0.HOG0002425","Siderastrea_Mexico_Barshis-Radice_Host_contig17167","GCKDGN101BZP41_Past"
"N0.HOG0002426","N0.HOG0002426","Siderastrea_Mexico_Barshis-Radice_Host_contig19021","isotig20132_Past"
"N0.HOG0002427","N0.HOG0002427","Siderastrea_Mexico_Barshis-Radice_Host_contig01380","isotig29192_Past"
"N0.HOG0002428","N0.HOG0002428","Siderastrea_Mexico_Barshis-Radice_Host_contig04983","isotig01594_Past"
"N0.HOG0002429","N0.HOG0002429","Siderastrea_Mexico_Barshis-Radice_Host_contig04531","isotig14373_Past"
"N0.HOG0002432","N0.HOG0002432","Siderastrea_Mexico_Barshis-Radice_Host_contig17002","isotig24740_Past"
"N0.HOG0002433","N0.HOG0002433","Siderastrea_Mexico_Barshis-Radice_Host_contig04232","isotig06747_Past"
"N0.HOG0002435","N0.HOG0002435","Siderastrea_Mexico_Barshis-Radice_Host_contig07164","isotig08737_Past"
"N0.HOG0002436","N0.HOG0002436","Siderastrea_Mexico_Barshis-Radice_Host_contig09873","isotig29687_Past"
"N0.HOG0002437","N0.HOG0002437","Siderastrea_Mexico_Barshis-Radice_Host_contig14157","isotig07736_Past"
"N0.HOG0002440","N0.HOG0002440","Siderastrea_Mexico_Barshis-Radice_Host_contig08726","isotig01722_Past"
"N0.HOG0002441","N0.HOG0002441","Siderastrea_Mexico_Barshis-Radice_Host_contig08727","isotig04822_Past"
"N0.HOG0002442","N0.HOG0002442","Siderastrea_Mexico_Barshis-Radice_Host_contig08721","isotig05154_Past"
"N0.HOG0002443","N0.HOG0002443","Siderastrea_Mexico_Barshis-Radice_Host_contig03867","isotig09393_Past"
"N0.HOG0002444","N0.HOG0002444","Siderastrea_Mexico_Barshis-Radice_Host_contig00808","isotig19913_Past"
"N0.HOG0002447","N0.HOG0002447","Siderastrea_Mexico_Barshis-Radice_Host_contig12417","isotig24742_Past"
"N0.HOG0002449","N0.HOG0002449","Siderastrea_Mexico_Barshis-Radice_Host_contig12413","GCKDGN102EH5HK_Past"
"N0.HOG0002450","N0.HOG0002450","Siderastrea_Mexico_Barshis-Radice_Host_contig12412","isotig03578_Past"
"N0.HOG0002451","N0.HOG0002451","Siderastrea_Mexico_Barshis-Radice_Host_contig08615","isotig06005_Past"
"N0.HOG0002452","N0.HOG0002452","Siderastrea_Mexico_Barshis-Radice_Host_contig13094","isotig15835_Past"
"N0.HOG0002454","N0.HOG0002454","Siderastrea_Mexico_Barshis-Radice_Host_contig07750","isotig07091_Past"
"N0.HOG0002456","N0.HOG0002456","Siderastrea_Mexico_Barshis-Radice_Host_contig04006","isotig00290_Past"
"N0.HOG0002457","N0.HOG0002457","Siderastrea_Mexico_Barshis-Radice_Host_contig11788","GCKDGN103GP3WZ_Past"
"N0.HOG0002458","N0.HOG0002458","Siderastrea_Mexico_Barshis-Radice_Host_contig05537","isotig05598_Past"
"N0.HOG0002460","N0.HOG0002460","Siderastrea_Mexico_Barshis-Radice_Host_contig07578","isotig15847_Past"
"N0.HOG0002462","N0.HOG0002462","Siderastrea_Mexico_Barshis-Radice_Host_contig01323","isotig20651_Past"
"N0.HOG0002463","N0.HOG0002463","Siderastrea_Mexico_Barshis-Radice_Host_contig14974","isotig10262_Past"
"N0.HOG0002467","N0.HOG0002467","Siderastrea_Mexico_Barshis-Radice_Host_contig15514","GCKDGN102DSET5_Past"
"N0.HOG0002468","N0.HOG0002468","Siderastrea_Mexico_Barshis-Radice_Host_contig08265","isotig05098_Past"
